,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,labelWalking,labelSitting,labelRunning,labelOnthetable,labelCycling,light_phone_lux,mag_phone_x,mag_phone_y,mag_phone_z,acc_phone_x_mixture,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7
2022-06-08 16:20:14.475446500,-0.4613703703703703,-0.3038148148148148,-0.1464814814814815,-0.1521111111111111,-0.3845925925925927,-0.0602962962962963,1,0,0,0,0,98.01,4.5539999999999985,6.344956521739129,-44.53226086956523,0.01993665302192868,-0.02535844391285812,0.44586685413138843,-0.04066680069581078,-0.06007660531005287,-0.02156816814180747,-0.03325211405603808,-0.07837806850297546
2022-06-08 16:20:14.725446500,0.5869230769230769,-0.4730769230769231,-0.34138461538461545,-0.4523846153846154,0.0093846153846154,0.37711538461538463,1,0,0,0,0,114.514,0.5056,11.09652,-43.83616,0.0033586913577341657,-0.03768665868919146,0.4217711002571273,-0.02285647533787888,-0.08570259490651046,0.021936337632340742,0.024994051789246952,-0.07957681152679646
2022-06-08 16:20:14.975446500,-0.04923076923076924,0.21061538461538465,0.3053846153846154,0.3931153846153847,-0.6810769230769231,0.12226923076923076,1,0,0,0,0,113.012,-5.01388,11.179680000000001,-42.59852000000001,0.15478801257565244,-0.02886839455782232,0.3987727763988793,0.04530188579604437,-0.11574572987039822,-0.06118230341319654,0.015576884661883221,-0.06362914700066923
2022-06-08 16:20:15.225446500,1.0603703703703704,-0.3128518518518518,0.5692962962962963,-0.7721481481481481,-0.012888888888888896,0.1692592592592593,1,0,0,0,0,111.51,-11.613120000000002,10.01044,-41.81568,0.0011889240330071747,-0.019236849356947822,0.3781883353914751,0.07741920173472706,-0.09280067336895155,0.09227581143313947,0.02427002288395139,-0.1154571044785495
2022-06-08 16:20:15.475446500,-0.03292307692307693,0.7725384615384616,-0.4149615384615384,-0.09053846153846154,-0.2425,-0.07396153846153848,1,0,0,0,0,109.01299999999999,-16.711679999999998,14.348280000000004,-41.64688,0.1544132440364237,-0.02844655923527157,0.3516300554090137,0.133066618392877,-0.15016045570217834,0.04308741275169474,0.011887128984212377,-0.09633674777458934
2022-06-08 16:20:15.725446500,-0.17373076923076922,0.14161538461538462,0.9775769230769232,0.024846153846153844,-0.045192307692307684,0.2269615384615384,1,0,0,0,0,115.999,-23.65804,13.3748,-39.1156,0.12565107556000615,-0.015218884453090666,0.31802804499732135,0.20688055538619676,-0.16212682446965168,0.0269957681017843,0.012972496756505763,-0.06207168426061983
2022-06-08 16:20:15.975446500,-0.14374074074074075,-0.2600740740740741,-0.6960000000000001,-0.1807777777777778,0.03588888888888889,0.2255925925925926,1,0,0,0,0,116.50549999999998,-23.844040000000003,14.87488,-37.37936,0.13701978439212836,-0.023607182328516895,0.3001841625835461,0.2010686433718747,-0.15553025359548686,0.06268339049471879,0.030571816167784337,-0.07509155650250157
2022-06-08 16:20:16.225446500,0.15926923076923075,0.06923076923076925,0.2754230769230769,-0.11542307692307692,-0.011923076923076923,0.1131153846153846,1,0,0,0,0,110.97,-24.94656,16.98012,-39.51988,0.0899971520992494,-0.029912732102540713,0.30728418598641866,0.20256942543977693,-0.18081898315923348,0.06417678901781695,0.02770547427964944,-0.07934048528571734
2022-06-08 16:20:16.475446500,1.013038461538461,-1.9233076923076924,-1.0545,-0.6819999999999999,-0.6121153846153847,0.4586923076923077,1,0,0,0,0,113.5015,-33.04892,22.6104,-39.8776,0.0012067031517770295,-0.04079334765829434,0.2757685194663913,0.25011004254077285,-0.22084724574017506,0.1297625843884242,0.08494294330635821,-0.1514419484711285
2022-06-08 16:20:16.725446500,-1.3449545454545453,-1.5998636363636365,-0.6024999999999998,0.2235000000000001,-3.620545454545456,2.183090909090909,1,0,0,0,0,76.16266666666667,-29.731559999999998,35.274879999999996,-14.166840000000002,0.0008996798328282287,-0.12382587055375471,0.04075369397876785,0.2669825010152552,-0.18836983030844529,-0.22721036224709565,0.07477417703472101,-0.19681064317238764
