,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,labelRowing,labelSitting,labelCycling,labelStanding,labelRunning,light_phone_lux,mag_phone_x,mag_phone_y,mag_phone_z,grav_phone_x,grav_phone_y,grav_phone_z
2022-06-22 20:06:40.073286,-0.652506693093865,-0.3595404271726255,-0.45838786054540565,0.46453917182449145,-0.45594007740370357,-0.9003030841167157,1,0,0,0,0,193.99501037597656,14.276902862217115,-32.535327247951344,-21.78750104489534,-0.09606311884191301,6.391184047416404,7.418778525458442
2022-06-22 20:06:40.323286,0.037378503726078906,0.4202599342052753,0.17585527896881104,-0.3204220679516976,-1.127538900822401,0.18952666903631046,1,0,0,0,0,185.99625396728516,14.869500579833984,-30.575251159667967,-23.98800094604492,0.1709993859896293,6.455347226216243,7.320626038771409
2022-06-22 20:06:40.573286,-0.26454777900989235,-1.4778757737233088,0.4389552244773277,0.8517217155939971,-0.782083126071554,1.6003541258665233,1,0,0,0,0,142.02000427246094,0.5752500009536742,-31.080001068115234,-26.07375114440918,3.8564359958355245,6.014557875119722,6.543226223725539
2022-06-22 20:06:40.823286,0.8060711666389748,0.6024279594421387,-1.1718069182501898,0.06210458296765056,-0.23411392737869863,0.2521146404798384,1,0,0,0,0,69.49125289916992,-13.045500526428222,-33.36225143432617,-19.063500747680663,5.825230792716697,5.818952507442898,5.292445306424741
2022-06-22 20:06:41.073286,-0.7057292919892532,0.6168428384340726,0.7676935287622305,0.579487474491963,-1.2895473027960038,0.2884867673095029,1,0,0,0,0,68.98500061035156,-14.577000617980957,-32.18700149536133,-19.605000762939454,6.52296704512376,5.498113632202148,4.697299196169927
2022-06-22 20:06:41.323286,-0.6610802503732535,-0.15212618387662447,-0.4055473873248467,0.43755539506673813,-1.2457999799114008,0.3929563886844195,1,0,0,0,0,44.01000213623047,-21.527250747680664,-32.242501449584964,-7.732500286102295,7.990003549135649,5.569982363627507,0.8794560607236165
2022-06-22 20:06:41.573286,-0.25145371754964196,-0.34816218305517127,-0.6614053757102402,-0.54095469477276,0.3707553137231756,0.46948069085677463,1,0,0,0,0,40.50000190734863,-25.532251281738283,-29.45625114440918,-0.9930000483989716,8.581158143502694,4.578545535052264,-0.38909237335125607
2022-06-22 20:06:41.823286,1.1213423838982215,-1.1507367262473474,1.5320090926610506,1.3710272701886983,-0.7097426525388773,-0.006513933722789488,1,0,0,0,0,40.02750015258789,-29.63775131225586,-25.5060009765625,-5.071500179320574,9.09255101130559,3.5556252828011146,0.2703882200786701
2022-06-22 20:06:42.073286,-0.7829852654383733,-0.898586630821228,-0.5801763396996719,-0.8546115886420012,0.9686905690110647,0.3387303873896599,1,0,0,0,0,33.00749969482422,-27.748501052856444,-27.743251113891603,3.8565001565217973,8.784877997178297,3.9289740599118748,-0.9082265573625381
2022-06-22 20:06:42.323286,1.197875323118987,-0.7379723478246618,0.784541924794515,-0.23035259234408537,-0.10212188600390046,0.05952255503722915,1,0,0,0,0,35.977500915527344,-31.3245011138916,-23.20650108337402,-6.9060002708435055,9.333080291748047,2.6586481730143228,1.361525332486188
2022-06-22 20:06:42.573286,-0.14313738162700945,0.15464152281100935,0.17370941203374135,-0.24997291413064188,-0.3063369395744163,-0.26002281667807925,1,0,0,0,0,42.49125099182129,-30.646501235961914,-24.657001037597656,-5.404500198364258,9.247411984663744,3.2142930030822754,0.5272235125303268
2022-06-22 20:06:42.823286,0.24519931353055513,-0.33769702911376953,0.011992380023002621,-0.13188805592317993,-0.07325678422617224,-0.07595281232520043,1,0,0,0,0,41.98500061035156,-29.711251220703126,-26.047501220703126,-5.609250164031982,9.15058785218459,3.503261712881235,0.40243286238266873
2022-06-22 20:06:43.073286,0.22387412878183216,-0.23887818593245286,0.22261792077467993,0.08697774533468944,-0.06946237335516624,-0.1383080112103086,1,0,0,0,0,,-29.022750854492188,-26.793001098632814,-5.12925012588501,9.062617668738731,3.7295846113791833,0.31356630331048596
2022-06-22 20:06:43.323286,0.25536224577162003,-0.20584992126182275,0.3814303226493023,0.07313408716409295,-0.08462174126395473,-0.12914416718262214,1,0,0,0,0,,-27.809251327514648,-27.816001205444337,-4.437000179290772,8.974380245915166,3.949075010087755,0.14164732896757345
2022-06-22 20:06:43.573286,0.1569667229285607,-0.2651820549598107,0.3351297593460633,0.2862958794956704,-0.3433529963860145,-0.10676624113693833,1,0,0,0,0,40.97249984741211,-26.308501052856446,-29.18400131225586,-1.9590000751614571,8.803459350879375,4.27974062699538,-0.45636171546693033
2022-06-22 20:06:43.823286,-0.21062563015864447,0.1547318330177894,0.4829733669757843,0.7024592543020844,-0.06684270529792859,0.19715073260550314,1,0,0,0,0,37.023752212524414,-25.88625114440918,-29.05050109863281,3.786000165939331,8.796277376321646,4.085508970113901,-1.4270811722828791
2022-06-22 20:06:44.073286,-1.538944473973027,1.202704385474876,-2.5155182856100575,0.4543702690689652,-0.1263754778990039,0.27997686293114116,1,0,0,0,0,29.970001220703125,-27.750750961303712,-26.463001098632812,8.904750366210937,8.992422669022172,3.2058055842364275,-2.2076098212489375
2022-06-22 20:06:44.323286,-0.4265495997208815,0.1962709197631249,0.09099831489416269,0.9243441292872796,-0.11155330962859668,-0.04508064887844599,1,0,0,0,0,20.992501258850098,-29.336251220703126,-22.172250747680664,12.456000518798827,9.10652864896334,2.4036107063293457,-2.6617288956275353
2022-06-22 20:06:44.573286,-0.05767978154695948,0.06994783649077786,-0.43558958860544056,0.7542417932015199,-0.9730958318194518,0.6145123489057789,1,0,0,0,0,13.972500801086426,-27.9645011138916,-17.005500679016112,20.92575065612793,8.659837264281053,1.0518627447577624,-4.362770153925969
2022-06-22 20:06:44.823286,0.5419172181023492,0.12032581258703161,-0.9088231722513834,0.19803330999005725,-0.11631883404873035,0.3641404516443058,1,0,0,0,0,11.508750438690186,-25.852501220703125,-9.192000370025635,27.532501220703125,8.028277997617367,-0.5716832349145854,-5.585179717452438
2022-06-22 20:06:45.073286,-0.903379880464994,-0.31399358006624073,1.3878485239469087,-0.32492132398944634,0.5454435074845185,-0.09753278342004006,1,0,0,0,0,,-26.105251388549803,-8.483250255584716,27.870751037597657,8.021104207405678,-0.4732563468412711,-5.58932770215548
2022-06-22 20:06:45.323286,0.45612399394695574,-0.729680869441766,0.6484510531792274,-0.6455783467166699,-0.18797015076359877,-0.2455030306099126,1,0,0,0,0,15.9975004196167,-27.015000915527345,-11.78550048828125,24.53025093078613,8.340839899503267,0.2995152773263936,-5.126225104698768
2022-06-22 20:06:45.573286,1.378874109341548,-0.4511022877234679,0.5623607268700233,0.15873086345023835,-0.3423779606819153,0.5711644382144396,1,0,0,0,0,27.506251335144043,-25.070251083374025,-14.99550064086914,24.731250915527344,7.757033366423387,0.6144535040053037,-5.925238976111779
2022-06-22 20:06:45.823286,0.6976547771030002,-0.8689714082413249,0.692962955545496,0.13383594870834645,-0.051227803583498356,-0.23452965335713494,1,0,0,0,0,,-24.954751052856444,-11.340000457763672,26.194501037597657,7.810606356020327,-0.1071371781355184,-5.922725730472141
2022-06-22 20:06:46.073286,0.3863514203291673,-0.21155124788100896,0.5994318907077496,-0.1829187634687584,-0.1591185394387979,0.03353295632852958,1,0,0,0,0,24.97500038146973,-23.58525093078613,-13.162500495910644,25.645500946044923,7.760032397050124,0.31303470169838804,-5.9628588786491985
2022-06-22 20:06:46.323286,-0.2241186545445369,-0.15482081702122322,0.12963601259084848,0.16439311406933343,0.0032540286282220668,-0.12553858613738647,1,0,0,0,0,28.01250076293945,-23.262000732421875,-12.632250518798829,27.084751205444334,7.6976039959834175,-0.02642666408792138,-6.073524530117329
2022-06-22 20:06:46.573286,0.20188338668258102,0.21654590978114693,-0.16072124905056423,0.027975341962667665,0.2710259963792783,-0.013679412986945224,1,0,0,0,0,23.01750183105469,-23.210250854492188,-12.732750549316407,27.677251205444335,7.850262112087673,0.0612692157694794,-5.872887328818992
2022-06-22 20:06:46.823286,-0.32585771267230695,0.21549051713484985,-0.960845525448139,-0.1426486728641276,1.1447253519525895,0.439241145665829,1,0,0,0,0,17.010000228881836,-27.513751068115234,-12.717000579833984,24.3585009765625,8.696601390838623,-0.2257030731998384,-4.436498981255752
2022-06-22 20:06:47.073286,-0.802003915493305,1.5896506040142133,-1.9070320954689612,0.1481112139299512,-0.6652434882349693,-0.28570263216701836,1,0,0,0,0,7.492500305175781,-32.204251022338866,-11.115000419616699,20.39250061035156,8.889273386735182,-0.33863012664593184,-4.089228840974661
2022-06-22 20:06:47.323286,-0.5197822429515697,0.5354450085648784,-0.9207607198644567,0.1543904164702528,-0.4006990123954084,-0.29707541844497126,1,0,0,0,0,,-27.457501220703126,-12.203250503540039,25.13625099182129,8.239380377310294,0.17290292906195479,-5.301812065972222
2022-06-22 20:06:47.573286,-1.3197121253380408,0.46987024465432536,-0.5021501504457914,0.06731259976871885,-0.1094387758236665,0.07291023538318069,1,0,0,0,0,11.002500057220459,-24.4447509765625,-12.67425064086914,27.999751205444337,7.785889882307786,0.31151362795096177,-5.950118926855234
2022-06-22 20:06:47.823286,0.4394661096426157,-0.5225322312460496,1.2926503236477191,-0.3806274957381762,0.2966805762396409,0.13486602200338474,1,0,0,0,0,20.52000141143799,-25.278751220703125,-12.056250343322754,26.539501113891603,7.948929456564096,0.2761982220869798,-5.725757580537063
2022-06-22 20:06:48.073286,0.41179732175973743,-0.3992636821304376,0.10716408949631911,0.02290742966131522,-0.6618367467935269,0.44316477672411847,1,0,0,0,0,29.970001220703125,-26.705251235961914,-11.871000366210938,25.308751068115235,7.817083450464102,-0.09276426110703212,-5.888374053514921
2022-06-22 20:06:48.323286,1.3439658836082176,-1.6870570668467768,2.5078671596668385,0.005079227258209826,0.06686141034933152,0.17394657262290517,1,0,0,0,0,28.51875114440918,-26.493001251220704,-9.632250328063964,26.884501190185546,7.477836220352738,-0.7532640960481432,-6.297883969766122
2022-06-22 20:06:48.573286,2.554648839510404,-1.305393833380479,-0.5913041554964505,-0.27728562329251033,0.5874756993009493,0.08771195928924357,1,0,0,0,0,25.98750114440918,-26.151001052856444,-10.003500366210938,26.63625099182129,7.569887252954336,-0.6080330770749313,-6.170423984527588
2022-06-22 20:06:48.823286,-1.342698702445397,0.11696573060292464,0.9950575094956619,0.26431649128566137,0.14774704731714267,-0.2555705518551314,1,0,0,0,0,23.01750183105469,-29.658751068115233,-10.80375030517578,21.549000930786132,8.55332165498,-0.5232860400126531,-4.767377083118145
2022-06-22 20:06:49.073286,0.11748448124638314,-0.012180729251768855,0.06726309105202005,0.04061119524865514,-0.3081756220587219,-0.2258191762699021,1,0,0,0,0,28.01250076293945,-28.372501220703125,-11.727750549316406,22.17075080871582,8.453818921689633,-0.16917423324452507,-4.955293673056143
2022-06-22 20:06:49.323286,0.23896011939415565,0.03479144091789539,0.014016023048987747,0.038249534411499135,-0.36974940395269257,-0.0479235179686489,1,0,0,0,0,33.98625183105469,-24.967500915527342,-12.539250602722168,25.614001159667968,7.878989513103779,-0.08876761183357583,-5.832654567865225
2022-06-22 20:06:49.573286,-0.3174855342278114,-0.0980913765155352,0.028748805706317607,-0.12079851006945738,0.13461345061659813,-0.015888358233496547,1,0,0,0,0,30.510001182556152,-23.391000747680664,-13.473750534057617,27.29175117492676,7.758768851940449,0.15629364686230054,-5.994366040596595
2022-06-22 20:06:49.823286,-0.12498350496645327,0.023704995918605063,-0.48858617853235314,-0.229040354559267,1.2869959319079365,0.4044122789744978,1,0,0,0,0,15.9975004196167,-27.288001022338868,-13.920000495910644,23.99925094604492,8.588639047410753,-0.05176158263175576,-4.635287638063784
2022-06-22 20:06:50.073286,0.8560702800750732,2.0052487643865438,-2.248844761114854,0.045944079040334776,0.48145543336151886,0.18550905542304882,1,0,0,0,0,9.483750581741333,-36.38325180053711,-9.985500450134277,12.627000617980958,9.555874787844145,-1.0585774710545173,-1.883589973816505
