,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,labelRowing,labelSitting,labelCycling,labelStanding,labelRunning,light_phone_lux,mag_phone_x,mag_phone_y,mag_phone_z,grav_phone_x,grav_phone_y,grav_phone_z
2022-06-22 20:06:40.073286,-0.31407244559728875,0.02300314633351452,-0.14724971663277103,0.07205855193639693,-0.7917394891130523,-0.3553882075402026,1,0,0,0,0,188.66250610351562,14.585547506809235,-31.514454285303753,-22.933594743410747,0.03494867598110774,6.422660323808778,7.370628248970464
2022-06-22 20:06:40.573286,0.28086187254707773,-0.4180984002239299,-0.3816217161574454,0.4494639310484998,-0.5029290059827408,0.9135151427450046,1,0,0,0,0,93.6675033569336,-6.235125262737274,-32.2211262512207,-22.56862594604492,4.859406930095744,5.914909857623982,5.906035945100604
2022-06-22 20:06:41.073286,-0.6834047711812533,0.23235832727872407,0.1810730707186919,0.5085214347793505,-1.2676736413537024,0.3407215779969612,1,0,0,0,0,56.497501373291016,-18.05212568283081,-32.21475147247315,-13.668750524520874,7.2564852971297045,5.534047997914827,2.7883776284467716
2022-06-22 20:06:41.573286,0.4219934265568571,-0.7418779966966161,0.4146092691511478,0.3969987220007856,-0.1593002923676428,0.23597389389321488,1,0,0,0,0,40.34250132242838,-27.58500129699707,-27.48112606048584,-3.0322501138597726,8.832030116387134,4.076735599985662,-0.06557359166865077
2022-06-22 20:06:42.073286,0.22613239288330075,-0.8167642602380717,0.11505749315585737,-0.5365928546789119,0.4231823372109881,0.1964924350591763,1,0,0,0,0,34.49250030517578,-29.536501083374024,-25.474876098632812,-1.5247500571608543,9.064150864223265,3.281826909982933,0.2480621412396431
2022-06-22 20:06:42.573286,0.05103096595177284,-0.09152775315138009,0.09285089602837197,-0.1909304850269109,-0.18979686190029427,-0.16798781450163985,1,0,0,0,0,42.32250086466471,-30.17887622833252,-25.35225112915039,-5.5068751811981205,9.198999918424166,3.3587773579817553,0.4648281874564978
2022-06-22 20:06:43.073286,0.23991524498417693,-0.22205246619458469,0.30352235191835547,0.07992531570061198,-0.07718507021436037,-0.13363963783771363,1,0,0,0,0,,-28.41600109100342,-27.304501152038576,-4.783125152587891,9.017666528809745,3.8414004748722292,0.22598493902258715
2022-06-22 20:06:43.573286,-0.026829453615041878,-0.05522511097101065,0.40905156316092384,0.49437756689887746,-0.20509785084197155,0.04519224573428241,1,0,0,0,0,38.34000142415365,-26.09737609863281,-29.117251205444337,0.913500045388937,8.799868363600512,4.182624798554641,-0.9417214438749048
2022-06-22 20:06:44.073286,-0.993241328113484,0.7089823079559038,-1.2368497646079872,0.6849234835156854,-0.11910422553993621,0.12051468732643802,1,0,0,0,0,23.98500124613444,-28.543501091003417,-24.31762592315674,10.680375442504882,9.048399187483877,2.812276021489557,-2.430385216227118
2022-06-22 20:06:44.573286,0.24777529374608456,0.09561208846434108,-0.6766708481986567,0.470890301754171,-0.5366245310683295,0.4869644012442737,1,0,0,0,0,12.330000559488932,-26.908501167297363,-13.098750524520874,24.229125938415528,8.338099524659931,0.22477328341524555,-4.985507101382849
